Alpha	Test	Train	Model	R_sq	Anc2	Anc1
0	PRS1_ML	pmbb_afr	LDpred-Inf	2.01	afr	eur
0.001	PRS1_ML	pmbb_afr	LDpred-Inf	2.01	afr	eur
0.002	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.003	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.004	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.005	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.006	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.007	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.008	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.009	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.01	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.011	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.012	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.013	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.014	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.015	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.016	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.017	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.018	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.019	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.02	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.021	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.022	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.023	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.024	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.025	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.026	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.027	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.028	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.029	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.03	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.031	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.032	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.033	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.034	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.035	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.036	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.037	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.038	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.039	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.04	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.041	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.042	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.043	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.044	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.045	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.046	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.047	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.048	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.049	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.05	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.051	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.052	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.053	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.054	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.055	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.056	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.057	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.058	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.059	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.06	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.061	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.062	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.063	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.064	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.065	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.066	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.067	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.068	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.069	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.07	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.071	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.072	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.073	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.074	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.075	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.076	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.077	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.078	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.079	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.08	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.081	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.082	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.083	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.084	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.085	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.086	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.087	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.088	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.089	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.09	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.091	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.092	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.093	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.094	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.095	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.096	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.097	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.098	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.099	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.1	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.101	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.102	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.103	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.104	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.105	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.106	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.107	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.108	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.109	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.11	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.111	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.112	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.113	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.114	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.115	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.116	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.117	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.118	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.119	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.12	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.121	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.122	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.123	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.124	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.125	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.126	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.127	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.128	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.129	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.13	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.131	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.132	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.133	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.134	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.135	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.136	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.137	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.138	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.139	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.14	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.141	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.142	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.143	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.144	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.145	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.146	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.147	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.148	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.149	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.15	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.151	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.152	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.153	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.154	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.155	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.156	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.157	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.158	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.159	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.16	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.161	PRS1_ML	pmbb_afr	LDpred-Inf	2.44	afr	eur
0.162	PRS1_ML	pmbb_afr	LDpred-Inf	2.44	afr	eur
