Discovery Cohort,Ancestry in Discovery Cohort,Phenotype,Co-variates,N_gwas,LD reference panel,Test set,Method,Variance Explained (%), Main Test Cohort Ancestry
UKBB,European (British),BMI,Sex+Age+Age2,360388,UKBB_EUR,PMBB_EUR,LDpred-Inf,3.555839, EUR
UKBB,European (British),BMI,Sex+Age+Age2,360388,UKBB_EUR,PMBB_EUR,LDpred (f=1),2.848509, EUR
UKBB,European (British),BMI,Sex+Age+Age2,360388,UKBB_EUR,PMBB_EUR,LDpred (f=0.3),2.095857, EUR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2,159095,1000G_EAS,PMBB_EUR,LDpred-Inf,1.066739, EUR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2,159095,1000G_EAS,PMBB_EUR,LDpred (f=1),0.9953474, EUR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2,159095,1000G_EAS,PMBB_EUR,LDpred (f=0.3),0.5194768, EUR
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,PMBB_AFR,LDpred-Inf,1.451389, AFR
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,PMBB_AFR,LDpred (f=1),0.9551837, AFR
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,PMBB_AFR,LDpred (f=0.3),0.4391952, AFR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,PMBB_AFR,LDpred-Inf,0.9859771, AFR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,PMBB_AFR,LDpred (f=1),0.5553877, AFR
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,PMBB_AFR,LDpred (f=0.3),0.08648709, AFR
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,UKBB_CHI,LDpred-Inf,3.486, EAS
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,UKBB_CHI,LDpred (f=1),2.104, EAS
UKBB,European (British),BMI,Sex+Age+Age2+pEUR,360388,UKBB_EUR,UKBB_CHI,LDpred (f=0.3),1.508, EAS
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,UKBB_CHI,LDpred-Inf,4.929, EAS
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,UKBB_CHI,LDpred (f=1),4.556, EAS
BBJ,East Asian (Japanese),BMI,Sex+Age+Age2+pEUR,159095,1000G_EAS,UKBB_CHI,LDpred (f=0.3),2.994, EAS
