Summary_Stats	R2	Test_Data	CI_L	CI_U	pEUR	fm1	fm2	Boots_Rep	Radius	N	Label	Sample_N	Size_group
PRS_META_AFR	1.95601959606903	PMBB_AFR	1.31840053530057	2.62960353414026	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_AFR	Height~Sex_M+Age+Age2+pEUR	100	1000	41109	META_AFR	8673	<50K
PRS_META_AFR2	3.31329561875467	PMBB_AFR	2.62224661682524	4.19678532866145	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_AFR2	Height~Sex_M+Age+Age2+pEUR	100	1000	90890	META_AFR+PAGE	8673	<100K
PRS_UKBB	4.97383784709229	PMBB_AFR	3.98390248571806	5.96664639899734	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_UKBB	Height~Sex_M+Age+Age2+pEUR	100	1000	360388	UKBB	8673	<400K
PRS_GIANT	3.01122504986301	PMBB_AFR	2.43054397747756	3.85712312748593	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_GIANT	Height~Sex_M+Age+Age2+pEUR	100	1000	253280	GIANT	8673	<300K
PRS_PAGE	3.69903499653709	PMBB_AFR	2.87482223766793	4.51728797180001	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_PAGE	Height~Sex_M+Age+Age2+pEUR	100	1000	49781	PAGE	8673	<50K
PRS_BBJ	1.99955948021009	PMBB_AFR	1.30196973333851	2.59582182823644	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_BBJ	Height~Sex_M+Age+Age2+pEUR	100	1000	159095	BBJ	8673	<200K
PRS_META_ALL	6.97141461455301	PMBB_AFR	5.76384090872846	7.97185999267632	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL	Height~Sex_M+Age+Age2+pEUR	100	1000	610373	UKBB+BBJ+META_AFR+PAGE	8673	>600K
PRS_META_ALL2	6.47150731231647	PMBB_AFR	5.51612474418407	7.80057268842113	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL2	Height~Sex_M+Age+Age2+pEUR	100	1000	660019	UKBB+GIANT+BBJ+META_AFR+PAGE	8673	>600K
PRS_META_EUR	5.6522884551546	PMBB_AFR	4.7848122842111	6.66121155870681	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_EUR	Height~Sex_M+Age+Age2+pEUR	100	1000	613667	UKBB+GIANT	8673	>600K
PRS_META_NEA	5.57837734451652	PMBB_AFR	4.69117647015937	6.45150977090217	0.198675901648795	Height~Sex_M+Age+Age2+pEUR+PRS_META_NEA	Height~Sex_M+Age+Age2+pEUR	100	1000	249985	META_AFR+PAGE+BBJ	8673	<300K
